frontend_file,method,frontend_endpoint,backend_file,backend_method,backend_route,backend_prefix
frontend\src\pages\ForgotPasswordPage.jsx,POST,/auth/forgot-password,backend\routes\auth.route.js,POST,/forgot-password,/api/auth
frontend\src\pages\OrderLookupPage.jsx,POST,/orders/lookup,backend\routes\order.route.js,POST,/lookup,/api/orders
frontend\src\pages\PaymentReturnPage.jsx,POST,/payments/verify-return,backend\routes\payment.route.js,POST,/verify-return,/api/payments
frontend\src\pages\PaymentReturnPage.jsx,POST,/payments/verify-return,backend\routes\payment.route.js,POST,/verify-return,/api/payments
frontend\src\pages\PurchaseSuccessPage.jsx,GET,/orders/track/:param,,,,
frontend\src\pages\PurchaseSuccessPage.jsx,GET,/orders/:param,,,,
frontend\src\pages\PurchaseSuccessPage.jsx,POST,/payments/checkout-success,backend\routes\payment.route.js,POST,/checkout-success,/api/payments
frontend\src\pages\ResetPasswordPage.jsx,POST,/auth/reset-password,backend\routes\auth.route.js,POST,/reset-password,/api/auth
frontend\src\pages\VerifyEmailPage.jsx,POST,/auth/verify-email,backend\routes\auth.route.js,POST,/verify-email,/api/auth
frontend\src\pages\VerifyEmailPage.jsx,POST,/auth/resend-verification,backend\routes\auth.route.js,POST,/resend-verification,/api/auth
frontend\src\stores\useCampaignStore.js,POST,/campaigns,backend\routes\mail.route.js,GET,/campaigns,/api/mail
frontend\src\stores\useCampaignStore.js,PATCH,/campaigns/:param,,,,
frontend\src\stores\useCampaignStore.js,DELETE,/campaigns/:param,,,,
frontend\src\stores\useCartStore.js,POST,/cart/merge,backend\routes\cart.route.js,POST,/merge,/api/cart
frontend\src\stores\useCartStore.js,POST,/coupons/validate,backend\routes\coupon.route.js,POST,/validate,/api/coupons
frontend\src\stores\useCartStore.js,GET,/cart,,,,
frontend\src\stores\useCartStore.js,DELETE,/cart,,,,
frontend\src\stores\useCartStore.js,POST,/cart,,,,
frontend\src\stores\useCartStore.js,DELETE,/cart,,,,
frontend\src\stores\useCartStore.js,PUT,/cart/:param,,,,
frontend\src\stores\useCartStore.js,PUT,/cart/:param/options,,,,
frontend\src\stores\useCartStore.js,POST,/cart/calculate,backend\routes\cart.route.js,POST,/calculate,/api/cart
frontend\src\stores\useCouponStore.js,POST,/coupons,,,,
frontend\src\stores\useCouponStore.js,DELETE,/coupons/:param,,,,
frontend\src\stores\useCouponStore.js,PATCH,/coupons/:param/toggle,,,,
frontend\src\stores\useInventoryStore.js,GET,/inventory/product/:param,,,,
frontend\src\stores\useInventoryStore.js,POST,/inventory/adjust,backend\routes\inventory.route.js,POST,/adjust,/api/inventory
frontend\src\stores\useOrderStore.js,GET,/orders/my-orders,backend\routes\order.route.js,GET,/my-orders,/api/orders
frontend\src\stores\useOrderStore.js,GET,/orders/track/:param,,,,
frontend\src\stores\useOrderStore.js,PATCH,/orders/:param/cancel,,,,
frontend\src\stores\useOrderStore.js,PATCH,/orders/:param/request-return,,,,
frontend\src\stores\useProductStore.js,POST,/products,,,,
frontend\src\stores\useProductStore.js,PUT,/products/:param,,,,
frontend\src\stores\useProductStore.js,GET,/products/category/:param,,,,
frontend\src\stores\useProductStore.js,DELETE,/products/:param,,,,
frontend\src\stores\useProductStore.js,PATCH,/products/:param,,,,
frontend\src\stores\useProductStore.js,GET,/products?:param,,,,
frontend\src\stores\useProductStore.js,GET,/products/suggestions?q=:param,backend\routes\product.route.js,GET,/suggestions,/api/products
frontend\src\stores\useProductStore.js,GET,/products/:param,,,,
frontend\src\stores\useStorefrontStore.js,PUT,/settings,,,,
frontend\src\stores\useUserStore.js,POST,/auth/signup,backend\routes\auth.route.js,POST,/signup,/api/auth
frontend\src\stores\useUserStore.js,POST,/auth/resend-verification,backend\routes\auth.route.js,POST,/resend-verification,/api/auth
frontend\src\stores\useUserStore.js,POST,/auth/login,backend\routes\auth.route.js,POST,/login,/api/auth
frontend\src\stores\useUserStore.js,POST,/auth/verify-otp,backend\routes\auth.route.js,POST,/verify-otp,/api/auth
frontend\src\stores\useUserStore.js,POST,/auth/resend-otp,backend\routes\auth.route.js,POST,/resend-otp,/api/auth
frontend\src\stores\useUserStore.js,POST,/auth/logout,backend\routes\auth.route.js,POST,/logout,/api/auth
frontend\src\stores\useUserStore.js,GET,/auth/profile,backend\routes\auth.route.js,GET,/profile,/api/auth
frontend\src\stores\useUserStore.js,POST,/auth/refresh-token,backend\routes\auth.route.js,POST,/refresh-token,/api/auth
frontend\src\stores\useUserStore.js,PATCH,/auth/profile,backend\routes\auth.route.js,GET,/profile,/api/auth
frontend\src\stores\useUserStore.js,PATCH,/auth/change-password,backend\routes\auth.route.js,PATCH,/change-password,/api/auth
frontend\src\stores\useWishlistStore.js,GET,/wishlist,,,,
frontend\src\stores\useWishlistStore.js,DELETE,/wishlist/:param,,,,
frontend\src\stores\useWishlistStore.js,POST,/wishlist,,,,
frontend\src\stores\useWishlistStore.js,POST,/wishlist/merge,backend\routes\wishlist.route.js,POST,/merge,/api/wishlist
frontend\src\stores\useWishlistStore.js,GET,/wishlist,,,,
